model,fold,window_count,window_mae,window_rmse,window_r2,window_bias,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count,trainable_parameters,peak_gpu_memory_mb
lstm,0,38454,3.861968912184626,4.994638308106179,0.20334316238978234,-1.2099595862753822,3.8894646990159965,4.440222085152379,4.545946782729532,5.2697254755214695,24.288198672235012,0.0017219513566357463,5921,5921,222.3984375
lstm,1,38503,3.881671954191428,4.836052605927441,0.23477179330009545,-0.288993296631156,3.9001839247879557,4.380018304536066,4.098725655281415,4.685264892703937,20.55060315132141,0.0011599686886803985,5921,5921,221.60400390625
lstm,2,38361,3.6704967412096887,4.4355197558778645,0.1850889730564811,1.3580062235611479,3.6682869394330537,4.153132524387104,4.361509195207726,4.945638269202129,14.433904305100441,0.001651757262719597,5921,5921,222.4833984375
lstm,3,38503,3.3073443948713255,4.016914422460801,0.3004355479564573,0.5943725764824193,3.3109937699819567,3.82195192924301,3.8699070886141484,4.551288927010949,22.362831838428974,0.0024569494580057158,5921,5921,221.60400390625
lstm,4,38398,3.948187918174117,4.944670363770938,0.22161741079444364,-0.9175148530797205,3.9514111836480077,4.497491845723513,4.5125401505982365,5.3593732533692,21.67400135844946,0.0027168203166415467,5921,5921,222.44921875
causal_tcn,0,38454,3.8622615639967623,4.957479443163547,0.21515292439789757,-1.0781663550740068,3.880626937063925,4.407192366522112,4.476364836998236,5.174480170717715,36.4587736800313,0.006999264787001959,17153,17153,205.03759765625
causal_tcn,1,38503,3.84117900383391,4.898354928007298,0.2149280913702325,-0.678445200977321,3.861245171739815,4.3675987918273265,3.9844592101645415,4.591062113994652,33.636220932006836,0.0038916646677237213,17153,17153,205.7861328125
causal_tcn,2,38361,3.8646486059710266,4.6194381907607065,0.11610743732771622,1.9249438980144602,3.8607905173398964,4.344540395265259,4.6003197423553095,5.155845566676553,32.23107283562422,0.0038853937799374137,17153,17153,205.037109375
causal_tcn,3,38503,3.2456925697792065,3.9604710112233623,0.31995719259658384,0.3270711927009218,3.249965134641676,3.7360592442607965,3.811088483439912,4.472096259737878,34.998920768499374,0.0037974169420687607,17153,17153,205.7861328125
causal_tcn,4,38398,3.923261012417667,4.899821800537669,0.23567336313584564,-0.9455982633068932,3.9266191206340513,4.458203557702324,4.431398023931546,5.234435159114319,36.97655409574509,0.006365615555728324,17153,17153,205.037109375
