model,fold,window_count,window_mae,window_rmse,window_r2,window_bias,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count,trainable_parameters,peak_gpu_memory_mb,variant
zero_mask_lstm,0,38454,3.9608867430473667,5.24000226759332,0.1231482961742113,-1.899090536022441,3.9870150158159596,4.5477776997962405,4.626810503514899,5.431682311602241,21.28486905992031,0.002165057655181107,5921,5921,222.98681640625,zero_mask_lstm
zero_mask_lstm,1,38503,3.816325112291427,4.913625085259651,0.21002568733055327,-0.8642610984307043,3.828719991754795,4.361744425959455,3.8931596974154328,4.559291843464425,19.493647642433643,0.0028405122282263353,5921,5921,222.19189453125,zero_mask_lstm
zero_mask_lstm,2,38361,3.3449440387010307,4.250254998611436,0.25174240764541267,0.293186359290258,3.345904723586926,3.8974643522460113,3.937745280857798,4.639548354753698,21.655802972614765,0.0024525215272681437,5921,5921,223.072265625,zero_mask_lstm
zero_mask_lstm,3,38503,3.1860068521671345,3.9502275810844067,0.3234703921710842,0.10253120876642226,3.1909862196228698,3.7007611536554172,3.8224041059596434,4.520677635115586,19.444260522723198,0.0015639264630091128,5921,5921,222.19189453125,zero_mask_lstm
zero_mask_lstm,4,38398,3.9845408227715158,5.119746940240756,0.16552099607691217,-1.6558214824962407,3.989099733092762,4.560148368653479,4.661315095841815,5.5587540150104156,22.87707494944334,0.0021428912156223907,5921,5921,223.03759765625,zero_mask_lstm
ffill_mask_lstm,0,38454,3.9555233381907535,5.24479952815631,0.12154203288732679,-1.9142949358303083,3.986091488854158,4.54498754153525,4.704957564998458,5.499331158245379,22.108301602303982,0.0028262192788061835,5921,5921,222.19287109375,ffill_mask_lstm
ffill_mask_lstm,1,38503,3.8283169983956786,4.959428855819849,0.19522909605683292,-1.0027546608291367,3.8410781257594167,4.368656466320573,3.902093083820953,4.571747349527254,21.030293606221676,0.0024919431726551644,5921,5921,222.94091796875,ffill_mask_lstm
ffill_mask_lstm,2,38361,3.392021132783467,4.25917523337056,0.2485982962501313,0.48839272714844245,3.3935490603462424,3.926945478608915,4.046231167497947,4.703309200359121,25.865521378815174,0.002742341557221798,5921,5921,222.19287109375,ffill_mask_lstm
ffill_mask_lstm,3,38503,3.1536371733370103,3.9486689937669985,0.32400414493791274,-0.12204705478363098,3.15911086787004,3.6759889257524705,3.8058897279818518,4.524312458219668,15.841058880090714,0.0021846517616688882,5921,5921,222.94091796875,ffill_mask_lstm
ffill_mask_lstm,4,38398,3.964885486983633,5.079730457655083,0.1785147684817573,-1.550966841750663,3.9691172022573356,4.541661010984159,4.620524347954365,5.510627163306794,14.640904933214188,0.0011562801250610956,5921,5921,222.1923828125,ffill_mask_lstm
ffill_mask_time_lstm,0,38454,3.9288316375605556,5.195568584769442,0.1379561364765538,-1.8151849804611468,3.959086577680629,4.519325172536177,4.6327587349129535,5.414137382444965,14.403058178722858,0.0009785365167395486,6689,6689,311.38525390625,ffill_mask_time_lstm
ffill_mask_time_lstm,1,38503,3.818185891870851,4.902670653363326,0.21354409720510847,-0.7946833188192035,3.83564989901314,4.351666173961696,3.943254118769357,4.589929443448257,14.592809356749058,0.0019932854479914643,6689,6689,311.45166015625,ffill_mask_time_lstm
ffill_mask_time_lstm,2,38361,3.390877227280974,4.261167324787869,0.24789524420034192,0.47311178610851035,3.3911145646362737,3.9247541208181924,3.9885164516128335,4.668253652913366,20.009837917983532,0.001464511534241702,6689,6689,311.25830078125,ffill_mask_time_lstm
ffill_mask_time_lstm,3,38503,3.1631940903485423,3.9390129540869965,0.32730625090592336,-0.030979134462265072,3.1683384758754283,3.673398185035639,3.8156821630643756,4.508614213144783,13.603813700377941,0.0009751200607850069,6689,6689,311.45166015625,ffill_mask_time_lstm
ffill_mask_time_lstm,4,38398,3.9941024002784262,5.1482872519956455,0.1561913656020284,-1.74926261835472,3.9986856208701695,4.572410943997614,4.688996872350429,5.589906936282812,15.048727750778198,0.002374579474431623,6689,6689,311.30810546875,ffill_mask_time_lstm
