comparison,scope,paired_session_count,mean_mae_diff,median_mae_diff,improved_session_fraction,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_n,wilcoxon_w_plus,wilcoxon_w_minus,wilcoxon_z_normal_approx,wilcoxon_p_two_sided_normal_approx,paired_effect_size_dz
lstm_minus_ridge,overall,428,-0.12456492606546005,-0.149331652614779,0.705607476635514,-0.14908463079847153,-0.10025765301334014,428,20796.0,71010.0,-9.80526875552553,0.0,-0.48072686573861645
lstm_minus_ridge,0-5,411,-0.4435258254563986,-0.3692048924511604,0.8077858880778589,-0.5102490444759356,-0.3770570205928471,411,12442.0,72224.0,-12.40442474997762,0.0,-0.6379775645624645
lstm_minus_ridge,5-10,420,0.18648541127058088,0.13404653991861726,0.36428571428571427,0.14180749762550107,0.23404209711843368,420,63654.0,24756.0,7.8133846710868236,5.551115123125783e-15,0.39027495629609277
lstm_minus_ridge,10-15,288,-0.1840843698254762,-0.18235932600956706,0.7152777777777778,-0.22929511686724113,-0.1388778282521395,288,9594.0,32022.0,-7.927442502439354,2.220446049250313e-15,-0.47522425499798276
lstm_minus_ridge,15-20,168,-0.21169991264078458,-0.17147305235120225,0.7559523809523809,-0.2829403131127776,-0.14552927672492186,168,2844.0,11352.0,-6.737366345224132,1.612832090103211e-11,-0.48309193377001025
lstm_minus_ridge,complete_dynamic,428,-0.12191794152284588,-0.13080549428128374,0.6915887850467289,-0.1447401764644757,-0.10015146729136654,428,21115.0,70691.0,-9.680686737243272,0.0,-0.509502061773494
lstm_minus_ridge,missing_dynamic,57,-0.008121145004178206,-0.10232457108741544,0.543859649122807,-0.20551169645516826,0.20332604855268196,57,819.0,834.0,-0.05958906066445361,0.9524829312117657,-0.0106688079281455
causal_tcn_minus_ridge,overall,428,-0.11261697310633415,-0.16078486960381166,0.6728971962616822,-0.15216713091984121,-0.07183525170234632,428,30390.0,61416.0,-6.058435265243459,1.3745203863990696e-09,-0.27386137067693606
causal_tcn_minus_ridge,0-5,411,-0.39410653898283804,-0.4272404829016907,0.7518248175182481,-0.4664011441965269,-0.31919801434852346,411,17367.0,67299.0,-10.360605811379388,0.0,-0.5394110334644671
causal_tcn_minus_ridge,5-10,420,0.07203039262041257,-0.05787953072683083,0.5452380952380952,0.013186621708694059,0.13385133454342568,420,44849.0,43561.0,0.25871868621419686,0.7958523008124332,0.11889946318669402
causal_tcn_minus_ridge,10-15,288,-0.0932696756279164,-0.037688369161887114,0.5381944444444444,-0.1579233251438323,-0.034460860908244274,288,18065.0,23551.0,-1.939091741055034,0.052490168186251296,-0.17250791718631756
causal_tcn_minus_ridge,15-20,168,-0.16196283488282837,-0.04818221182349092,0.5416666666666666,-0.28007405547667164,-0.057544120731425896,168,5865.0,8331.0,-1.9527909505550902,0.0508443712817338,-0.22113676447786018
causal_tcn_minus_ridge,complete_dynamic,428,-0.10876140664984414,-0.15574129902613376,0.6588785046728972,-0.14837863283977906,-0.06653023272413129,428,31120.0,60686.0,-5.773341618390644,7.771465471151373e-09,-0.26102862317572667
causal_tcn_minus_ridge,missing_dynamic,57,-0.03911505076020863,-0.07433023209046175,0.5789473684210527,-0.21021473959166498,0.13841008805173904,57,725.0,928.0,-0.8064386209922721,0.4199899856669749,-0.058000916802851375
lstm_minus_causal_tcn,overall,428,-0.011947952959125811,0.010388334631414198,0.48364485981308414,-0.040326006735538,0.016654752191293257,428,45048.0,46758.0,-0.3339110521358318,0.7384466795973309,-0.04156447528331135
lstm_minus_causal_tcn,0-5,411,-0.04941928647356001,-0.01589288729340277,0.537712895377129,-0.08357988512365847,-0.016463507600621752,411,36815.0,47851.0,-2.2899071884639697,0.022026697442353638,-0.14542229815595722
lstm_minus_causal_tcn,5-10,420,0.11445501865016837,0.15637897071675366,0.28095238095238095,0.07655341319251732,0.15065359372355433,420,61992.0,26418.0,7.145697626850806,8.952838470577262e-13,0.30281685238623923
lstm_minus_causal_tcn,10-15,288,-0.09081469419755987,-0.16206737190679643,0.6875,-0.13433848919631797,-0.042574372474951654,288,14119.0,27497.0,-4.728612707224616,2.2605912626261215e-06,-0.23351124707914997
lstm_minus_causal_tcn,15-20,168,-0.0497370777579562,-0.11435161323583642,0.6369047619047619,-0.12039492652894375,0.027349061950581056,168,5714.0,8482.0,-2.191940531685519,0.02838380091950743,-0.10159562480127775
lstm_minus_causal_tcn,complete_dynamic,428,-0.013156534873001656,0.010388334631414198,0.48364485981308414,-0.04149115291529615,0.016702072304238872,428,45277.0,46529.0,-0.24447756565734582,0.8068609749179398,-0.04333949234900055
lstm_minus_causal_tcn,missing_dynamic,57,0.030993905756030424,0.011825111528105836,0.43859649122807015,-0.09384063237077711,0.14778446157057654,57,915.0,738.0,0.7031509158405526,0.4819617044714972,0.06515631030146429
