variant,fold,window_count,window_mae,window_rmse,window_bias,session_macro_mae,raw_pa_id_group_macro_mae,train_time_seconds,inference_latency_ms_per_window,parameter_count
static_only,0,38454,4.477755747955216,5.7200131143099675,-2.0488777104905647,4.509528663222522,5.177794974763742,6.096301466226578,6.943393182647876e-05,801
static_only,1,38503,4.299379739706118,5.452442964952352,1.7739300201382726,4.337364468126693,4.015403978273163,7.735031366348267,0.00010027738805529676,801
static_only,2,38361,3.8582744150899355,4.767332339926345,0.4658802445453622,3.864062189195487,4.475511671748176,9.954814858734608,0.00016589539941248895,801
static_only,3,38503,3.8979882380932835,4.904084433544893,-0.07208319310723622,3.908271354807952,4.766286659349043,8.995378412306309,8.495554374019328e-05,801
static_only,4,38398,4.627412383224425,5.894140549400182,-2.077734761265667,4.631859591634043,5.220716168587923,8.139390178024769,8.67663361056471e-05,801
dynamic,0,38454,3.988174952977574,5.290140048469093,-2.02060269803961,4.0206193638089465,4.810650539378683,9.466686896979809,0.0002405634255988826,5921
dynamic,1,38503,3.83177977450703,4.976358042910251,-1.0899900907133782,3.8437445356616373,3.883915221233233,11.997293286025524,0.00037035808047297664,5921
dynamic,2,38361,3.3823221229627225,4.272832679427316,0.42999690232503673,3.3830519674163373,4.006527358518111,20.172409512102604,0.00030627244860240724,5921
dynamic,3,38503,3.194732566608363,3.965800067387205,0.06929381886688518,3.1998122840543277,3.8392349075583954,10.629760198295116,0.00019055861756513232,5921
dynamic,4,38398,4.019114165379762,5.18541822966442,-1.8223519874571252,4.023823731535677,4.733454510347354,17.16356334090233,0.0004930560154445198,5921
cumulative_dose,0,38454,4.074955889467777,5.348883597504163,-1.9989687393773965,4.086281253821975,4.7920352110868984,8.244291804730892,7.330104937300194e-05,929
cumulative_dose,1,38503,3.8888041541795775,5.0136094365560355,-1.0251282387528051,3.897695941767886,4.001451427210686,8.58061646670103,0.00018389657593744375,929
cumulative_dose,2,38361,3.4486434100855785,4.326899157075427,0.5388438147457625,3.4496728238121026,4.162316621846574,7.833568207919598,8.215954360858494e-05,929
cumulative_dose,3,38503,3.2489728624039316,3.999288961495145,0.13305996596136704,3.253734596445064,3.847802181287751,6.956806465983391,7.767911898923552e-05,929
cumulative_dose,4,38398,4.083422925423952,5.2482299484127,-1.9014764074931771,4.088188584949179,4.743973375973503,8.429606951773167,7.403837410669363e-05,929
static_dynamic,0,38454,3.816648420540818,5.082031250753733,-1.9962374293252882,3.8504583390319986,4.167599036253327,15.473863027989864,0.00044441490678771855,6721
static_dynamic,1,38503,4.014159567753946,4.83651587615217,2.373635923996129,4.025109447370581,4.055299878734189,16.40989527106285,0.0002877280977959169,6721
static_dynamic,2,38361,3.2830456409972673,4.151022998682512,0.09169699207815679,3.2868841108289697,4.151072931240988,18.87844578921795,0.0003463184695861495,6721
static_dynamic,3,38503,3.0979383390715056,4.058218702304443,-0.1550348234281555,3.106580574605801,3.9068028718426735,15.887290455400944,0.0002121005346721616,6721
static_dynamic,4,38398,3.596276190548691,4.708242505952723,-1.673086779213725,3.5982547452433895,4.16872151871461,16.87760115414858,0.0004811030318013168,6721
static_dose,0,38454,3.988270126017727,5.230670282928254,-2.222075230062377,3.9841639625915204,4.390503927906587,7.358568713068962,6.289864073753506e-05,1153
static_dose,1,38503,3.8954670342798123,4.92020422796225,1.0369025617737282,3.874922416374257,4.113999184855691,7.372267089784145,0.00017074316541111333,1153
static_dose,2,38361,3.3143879148325146,4.311305300609281,0.2648607400630016,3.318463689629872,4.074584114852043,8.751340478658676,8.194512164411572e-05,1153
static_dose,3,38503,3.1148450065747553,4.117100329353316,-0.1860052457423878,3.125174826136273,4.027548377529343,7.313384599983692,0.0001083493180093284,1153
static_dose,4,38398,3.8351278668078876,4.9739403357264855,-1.7855146929355479,3.8373884560847578,4.629142231094055,7.43216947466135,0.00016261234625695092,1153
static_dynamic_dose,0,38454,3.7084817514070303,4.915148019153934,-1.9636220997530007,3.7128356515262455,4.205749841886038,15.369581438601017,0.0002440963190977204,7073
static_dynamic_dose,1,38503,4.080949957593566,5.053157242715808,1.7942435516363928,4.0840196491120775,4.164325432097676,18.01698399335146,0.00018930643703263632,7073
static_dynamic_dose,2,38361,3.254630007310462,4.235454553882319,0.10081676061257329,3.2603406874211505,3.9972199099383507,13.20423136651516,0.00030148330295034007,7073
static_dynamic_dose,3,38503,3.1007096513638865,4.046629686508375,-0.0942540971355553,3.1102293153496148,3.991215186999403,14.183122210204601,0.00019347863058249672,7073
static_dynamic_dose,4,38398,3.832050594391907,4.989515403650601,-1.8251500541262886,3.834654338699295,4.617899199407303,14.969094708561897,0.00021023703643484497,7073
